article_links,body,title
https://www.eluniversal.com.mx/espectaculos/musica/little-richard-el-idolo-del-rock-que-dejo-los-excesos-por-la-biblia,"Para cualquier músico o amante del rock The Rolling Stones o The Beatles son algo similar a los dioses en este rubro, pero lo cierto es que ninguna de estas bandas quizá existiría o tendría el impacto del que hoy gozan sin la presencia o existencia de Little Richard, icono del rock and roll que falleció este sábado a los 87 años de edad.","Little Richard, el ídolo del rock que dejó los excesos por la Biblia"
https://www.eluniversal.com.mx/espectaculos/brian-may-va-al-hospital-tras-destrozarse-los-gluteos-en-su-casa,"El guitarrista de Queen, Brian May, ha sido hospitalizado después de ""destrozar su 'Gluteus Maximus' en pedazos mientras trabajaba en el jardín de su casa.","Brian May va al hospital tras ""destrozarse los glúteos"" en su casa "
https://www.eluniversal.com.mx/espectaculos/musica/silvio-rodriguez-lanzara-disco-dedicado-luis-eduardo-aute-y-oscar-chavez,"El trovador cubano Silvio Rodríguez lanzará el 12 de junio ""Para la espera"", un nuevo álbum dedicado ""a la memoria de varios amigos"", entre ellos el español Luis Eduardo Aute, con 10 temas inéditos.",Silvio Rodríguez lanzará disco dedicado a Luis Eduardo Aute y Óscar Chávez
https://www.eluniversal.com.mx/universal-deportes/futbol/club-america-piojo-herrera-se-llevaria-dos-jugadores-del-cruz-azul-y-uno,"En la hora de las confesiones, Miguel Herrera no defrauda. El técnico del América, si pudiera elegir a futbolistas del resto de los clubes grandes (Guadalajara, Cruz Azul y Pumas), se llevaría a dos cementeros y a un rojiblanco.",'Piojo' Herrera se llevaría al América jugadores de Cruz Azul y Chivas
https://www.eluniversal.com.mx/nacion/politica/imss-habilitara-hospital-de-expansion-para-covid-19,"El Instituto Mexicano del Seguro Social (IMSS) habilitará en el estacionamiento de la Subdelegación Norte de la Ciudad de México un hospital de expansión para atender a pacientes Covid-19, el cual contará con 40 camas y arrancará funciones el próximo 15 de mayo. ",IMSS habilitará hospital de expansión para atender casos Covid-19
https://www.eluniversal.com.mx/nacion/la-cuarentena-que-duro-anos-para-los-circos-en-la-cdmx,"Virus deja en la cuerda floja a familia circense, se leía en la primera plana de EL UNIVERSAL el pasado sábado 2 de mayo.",La cuarentena que duró años para los circos en la CDMX
https://www.eluniversal.com.mx/espectaculos/natalia-lafourcade-dedica-concierto-medicos-desde-su-casa,"Desde la cocina desde su casa Natalia Lafourcade le da gracias a todos los médicos y enfermeros que luchan contra el Covid-19 y dedica el concierto acústico que ofreció a través de Facebook, a todas las personas que están a travesando por momentos difíciles",Natalia Lafourcade dedica concierto a médicos desde su casa
https://www.eluniversal.com.mx/espectaculos/hector-martinez-serrano-fallece-los-86-anos,El locutor mexicano Héctor Martínez Serrano murió hoy a los 86 años de edad.,Fallece a los 86 años el locutor Héctor Martínez Serrano
https://www.eluniversal.com.mx/nacion/coronavirus-amlo-pide-ahorrar-para-enfrentar-la-pandemia-por-covid-19,"Por la crisis económica mundial ocasionada por Covid-19, y que se prevé que México tenga una caída del 6.6%, el presidente Andrés Manuel López Obrador pidió esta tarde a los mexicanos ahorrar lo mucho o poco que se tenga para poder enfrentar esta pandemia.  ",AMLO pide ahorrar lo mucho o poco que se tenga para enfrentar la pandemia 
https://www.eluniversal.com.mx/menu/receta-arroz-con-leche-con-piquete,"200 gr de Arroz arbóreo
350 ml de Crema para batir
1.5  lt de Leche
250 gr  de Azúcar
300 ml  de Agua
200 gr de Mantequilla
100 ml de Corajito Clásico o Avellanas
1  Limón amarillo
50 gr de Canela
25 gr de Canela en polvo
100 gr  de Azúcar glass",Arroz con leche (con piquete)
https://www.eluniversal.com.mx/nacion/manejo-de-crisis-por-covid-deficiente-y-bipolar-exsecretario-chertorivski,"
Existe bipolaridad en el manejo de la contingencia por Covid-19, considera el exsecretario de Salud Salomón Chertorivski, puesto que “se intenta ser muy serio y dar explicaciones científicas, pero al mismo tiempo ganan los enojos, los chistoretes y la pugna.","Manejo de crisis por Covid, deficiente y bipolar: exsecretario Chertorivski"
https://www.eluniversal.com.mx/estados/alertan-por-un-segundo-brote-de-covid-19-en-asilo-clandestino-de-nuevo-leon,"El secretario de Salud de Nuevo León, Manuel de la O Cavazos, informó sobre la posibilidad de la existencia de un segundo brote de coronavirus en un asilo de la entidad, pues este sábado falleció en el Hospital Metropolitana un paciente de 87 años, que apenas el viernes fue internado con problemas de neumonía y dificultad respiratoria.",Alertan por un segundo brote de Covid-19 en asilo clandestino de Nuevo León
https://www.eluniversal.com.mx/destinos/sierra-de-nanchititla-el-bosque-de-edomex-que-no-conocias,"El Estado de México tiene gran variedad de tesoros naturales: el Nevado de Toluca, el Santuario de la Mariposa Monarca, las Grutas de la Estrella. Pero también hay otro sitio de gran belleza  que prácticamente pasa desapercibido para la mayoría de los turistas: el “Parque Natural Sierra de Nanchititla, un buen escape por carretera (y en auto propio, de preferencia) para darnos un baño de naturaleza, desintoxicarnos del estrés y las malas noticias, después de que todo esto pase y podamos viajar de nuevo.","Sierra de Nanchititla, el bosque del Edomex que tal vez no conocías"
https://www.eluniversal.com.mx/estados/fallece-mujer-por-tornado-en-nuevo-leon-tambien-hay-un-herido,"La tarde de este viernes dos personas murieron y cinco resultaron lesionadas,  por los embates de una tormenta que estuvo acompañada por un tornado, descargas eléctricas, rachas de viento de hasta 115 kilómetros por hora, fuertes precipitaciones y granizo, informó Protección Civil de Nuevo León.  ",Fallecen dos por tornado en Nuevo León; también hay 5 heridos
