body,title
La FIFA aprobó las recomendaciones de la International Board (IFAB) en donde se estable que se podrán hacer hasta 5 cambios de jugadores en un solo partido y además autoriza a dejar de utiliza el Video Assistant Referee (VAR) en las ligas y torneos donde ya se aplicaba.,FIFA autoriza cinco cambios y desaparece el VAR
,Prevén dos rebrotes más del coronavirus en España
"Ante el incremento en los retiros parciales por desempleo que realizan los trabajadores en México con cuenta de Afore, ha aumentado la preocupación de que las administradoras enfrenten problemas de liquidez, dijo el presidente de la Comisión Nacional del Sistema de Ahorro para el Retiro (Consar), Abraham Vela.","Ante retiros parciales por desempleo, preocupa problemas de liquidez en las Afore: Consar"
"Tal vez muchos no sepan su nombre, pero en redes sociales el rostro del investigador Giorgio Tsoukalos es bien conocido. ",El investigador Giorgio Tsoukalos está feliz de ser un meme
"Esteban Moctezuma Barragán, titular de Educación Pública (SEP), garantizó que para evitar contagios de Covid-19 se reabrirán los plateles educativos cuando existan las condiciones sanitarias adecuadas, antes no. ","Cuando haya condiciones sanitarias se abrirán las escuelas, antes no: SEP"
,Peniley Ramírez
"Monterrey, NL, 8 de mayo- Fuertes lluvias acompañadas de granizo, descargas eléctricas, rachas de viento de hasta 115 kilómetros por hora y un mini tornado que causó destrozos en Apodaca, se presentaron este viernes por la tarde en municipios del norte del estado y  la zona metropolitana.",Granizo y hasta un tornado dejan destrozos en Nuevo León
,Martí Batres
"Este viernes, elementos de la Fiscalía General de Justicia realizaron un cateo en una de las casas, en Tijuana, del ex gobernador panista Francisco ""Kiko"" Vega de Lamadrid.","Catean residencia de ""Kiko"" Vega, ex gobernador de Baja California"
"La senadora del PRI, Vanessa Rubio, propuso que personas desahuciadas puedan tener acceso a los recursos para su retiro, para utilizarlos en el presente ante las condiciones de su enfermedad.",Senadora de PRI plantea que desahuciados puedan acceder a recursos de su Afore
,"Con brasier de Ninel, Albertano hace cubrebocas"
"Elementos de la Fiscalía General de Veracruz llevaron a cabo un cateo en la zona hotelera de Cancún, Quintana Roo para tratar de ubicar a uno de los artífices de la creación de empresas fantasmas durante el gobierno del priista Javier Duarte de Ochoa. ",Escapa presunto creador de empresas fantasmas durante sexenio de Duarte
"En redes sociales se ha hecho viral una fotografía que habría subido el mediocampista del LA Galaxy, Jonathan dos Santos, junto a una mujer.",Polémica foto de Jonathan Dos Santos teniendo sexo
"El guitarrista de Queen, Brian May, ha sido hospitalizado después de ""destrozar su 'Gluteus Maximus' en pedazos mientras trabajaba en el jardín de su casa.","Brian May va al hospital tras ""destrozarse los glúteos"" en su casa "
,El nuevo Facebook ya disponible en México
"A nivel mundial, los restaurantes se han visto obligados a cerrar sus puertas como causa de la presencia del coronavirus, por ello esta empresa arrendadora ayudó a los restaurantes con el perdón de la renta de algunos locales, con la finalidad de que esa cantidad de dinero sea destinada al pago de los empleados restauranteros. ",Empresa en Estados Unidos perdona rentas a restaurantes afectados por la pandemia
,"Meghan Markle se une a la tendencia de dejarse las canas, ¡y nos encanta!"
,"Confinamiento por Covid-19 exacerbó la otra pandemia, la violencia contra mujeres: Laura Rojas"
,Mario Maldonado
"
El tiempo en Estados Unidos llegará a un punto extremo este sábado, tanto de temperaturas gélidas como de calor.",El inusual vórtice polar que golpeará a Estados Unidos y partirá al país en dos
"
Chilpancingo.— ¿Qué pasaría si llega el coronavirus a pueblos de La Montaña de Guerrero? “Sería devastador”, dice Balbino Amado Solano, coordinador de la Policía Comunitaria de la Coordinadora Regional de Autoridades Comunitarias (CRAC) de San Miguel del Progreso, Malinaltepec.",Policía Comunitaria en Guerrero toma las armas contra el Covid-19 
"El cheesecake puede convertirse en una de tus prioridades durante esta cuarentena, si quieres una nueva receta para preparar este delicioso postre, en Menú te diremos cómo hacer un cheesecake de frutos rojos. ",Prepara un delicioso cheesecake de frutos rojos 
"Con el entendido de que las fechas prácticamente están escritas en lápiz para borrar si es necesario los días en que se celebrarán los partidos por la pandemia del Covid-19, la NFL lanzó su calendario 2020.",Los juegos imperdibles de la NFL 2020-21
Torreón.- La secretaría de Seguridad Pública en Coahuila informó que fueron halladas muertas en Torreón tres mujeres que se desempeñaban en el sector de salud federal.,"Asesinan a tres mujeres en Torreón, dos de ellas enfermeras"
"Para Guillermo Ochoa, Miguel Herrera es el entrenador ideal del Club América. “Ya hizo historia y el vestuario no e para cualquiera”, apuntó el arquero azulcrema. ","Memo Ochoa salta en defensa del 'Piojo' Herrera; ""ya hizo historia"""
"La temporada de Luka Jovic con el Real Madrid ya se consideraba un fracaso, que creció durante el parón por el coronavirus —al ser acusado de no respetar el confinamiento en Belgrado— y se redondeó con la más reciente actualización: sufrió una fractura en la antesala de la vuelta a los entrenamientos. ",Jugador del Real Madrid se fractura entrenando en casa
"
Jalisco tiene 508 casos confirmados y 41 muertos por coronavirus, de acuerdo con el reporte del 7 de mayo de la Secretaría de Salud del gobierno federal.",Coronavirus Jalisco: Casos confirmados de Covid-19 al 7 de mayo
,El papel de los videojuegos en el manejo autónomo
"Ante las declaraciones del expresidente Felipe Calderón, quien aseguró que el operativo ""Rápido y Furioso"" no fue algo acordado entre Estados Unidos y México, Andrés Manuel López Obrador ordenó enviar una nota diplomática al gobierno estadounidense para conocer las investigaciones y conclusiones de la operación.","AMLO ordena enviar nota diplomática a EU para conocer detalles de operativo ""Rápido y Furioso"""
"El cedrón, también llamado hierbaluisa o verbena de indias, es una planta originaria de América del Sur. Su arbusto llega a crecer hasta 3 metros de altura y sus hojas desprenden un fuerte olor a limón y menta, es común que florezca en verano. Esta hierba es utilizada para tratar ciertos malestares estomacales entre muchos otros. Conoce más de sus propiedades medicinales en Menú.",Qué es el cedrón y cuáles son sus beneficios
"Si pensaste que el confinamiento había terminado con nuestros conciertos, te tenemos excelentes noticias, ¡no todo está perdido!... pues resulta que, algunos artistas en todo el mundo han dado shows de manera virtual y en esta ocasión tendremos la oportunidad de disfrutar de “Música entre Brothers"".","Música entre Brothers, el evento virtual de música más esperado"
,National Geographic estrenará barco de crucero para viajar a regiones polares
"Cada año, el Instituto Legatum de Londres publica el Índice de Prosperidad. Para elaborarlo considera los 12 pilares que constituyen el bienestar de una nación. Entre ellos: la libertad personal, la seguridad, el acceso al mercado e infraestructura, el entorno natural, la educación y, por supuesto, el sector salud. En este último rubro, Singapur encabeza el ránking del 2019. Lo siguen Japón, Suiza, Corea del Sur y Noruega.",Qué países tienen los mejores y más envidiables sistemas de salud
Read in English,Rancho incautado a Javier Duarte será usado como hospital para pacientes con Covid-19
Un grupo delincuencial bloqueó la autopista Puebla-Veracruz y hurtó pertenencias a automovilistas y traileros. ,Reportan robo masivo en la autopista Puebla-Veracruz 
