uid,article_links,body,title,newspaper_uid,host,n_tokens_title,n_tokens_body
098de4ecd15982dd560aaf0e6a88c8b4,https://www.eluniversal.com.mx/ciencia-y-salud/ciencia/coronavirus-que-pasara-despues-de-alcanzar-el-pico-mas-alto-de-contagios,"De acuerdo a la información otorgada por las autoridades sanitarias, el pico máximo de contagios en nuestro país, sucede este viernes 8 de mayo, lo que significa que hemos alcanzado el número más alto de casos por la enfermedad producida por el virus SARS-CoV-2.",¿Qué pasará después de alcanzar el pico más alto de contagios de Covid-19? ,eluniversal,www.eluniversal.com.mx,6,20
1a41c134f0f66f9589e36defb6d262de,https://www.eluniversal.com.mx/cartera/reporta-cerveza-mayor-alza-de-precio-en-10-anos-inegi,"Debido a la falta de producción de cerveza, el precio de la bebida reportó el mes pasado la mayor alza de precio de los últimos 10 años.",Reporta cerveza mayor alza de precio en 10 años: Inegi,eluniversal,www.eluniversal.com.mx,7,14
48589abcd344d8016f654e7393c24335,https://www.eluniversal.com.mx/techbit,techbit,Facebook y Google extienden el trabajo desde casa hasta fin de año,eluniversal,www.eluniversal.com.mx,7,1
50c26b926f6bc5bcee8f423d256a7e6f,https://www.eluniversal.com.mx/autor-opinion/columnistas/oscar-mario-beteta/en-petit-comite,en petit comite,Óscar Mario Beteta,eluniversal,www.eluniversal.com.mx,3,2
7e6b88c65efb6b4555b384965bf901c6,https://www.eluniversal.com.mx/estados/reportan-robo-masivo-en-la-autopista-puebla-veracruz,Un grupo delincuencial bloqueó la autopista Puebla-Veracruz y hurtó pertenencias a automovilistas y traileros. ,Reportan robo masivo en la autopista Puebla-Veracruz ,eluniversal,www.eluniversal.com.mx,4,8
db959dfaf31a4b156a7e1c4bbf8a65a7,https://www.eluniversal.com.mx/nacion/presidencia-sigue-pleito-con-calderon-aseguran-que-si-sabia-de-rapido-y-furioso,"Jesús Ramírez, vocero de la Presidencia de la República, siguió hoy la confrontación del gobierno federal en contra del expresidente Felipe Calderón, ahora por el fallido operativo Rápido y Furioso.",Presidencia sigue pleito con Calderón; aseguran que sí sabía de Rápido y Furioso,eluniversal,www.eluniversal.com.mx,8,18
7d10365442dcb4b7acbfa8e03e3fcb6e,https://www.eluniversal.com.mx/destinos/7-extranos-animales-marinos-que-parecen-salidos-de-una-pesadilla,"El mar profundo cubre dos tercios de la superficie terrestre, y puede alcanzar niveles de más de 3.5 kilómetros por debajo de la superficie del agua. En ese hábitat, el más grande que existe de manera continua en el planeta, ¿te imaginas cuántas especies ni siquiera han sido descubiertas o vistas?",7 animales marinos que parecen salidos de una pesadilla,eluniversal,www.eluniversal.com.mx,5,27
a3fae8d54feef97cdfce4678c7d35679,https://www.eluniversal.com.mx/cartera,cartera,Covid-19 paraliza la producción automotriz en México; cae 98%,eluniversal,www.eluniversal.com.mx,5,1
dadb940debc612be7f6e19fef7eb91d4,https://www.eluniversal.com.mx/autor-opinion/columnistas/alejandro-hope/plata-o-plomo,plata o plomo,Alejandro Hope,eluniversal,www.eluniversal.com.mx,2,2
c62710b4e381202e2d901730cc6de222,https://www.eluniversal.com.mx/mundo/oms-el-mundo-puede-derrotar-la-covid-19-como-vencio-la-viruela,"Ginebra.- La Organización Mundial de la Salud (OMS) conmemoró hoy el 40 aniversario de la erradicación de la viruela, una de las enfermedades más mortales de la historia, y destacó que sólo mostrando la unidad internacional que se logró entonces podrá vencerse de la misma manera a la pandemia de COVID-19.",El mundo puede derrotar a la Covid-19 como venció a la viruela hace 40 años: OMS,eluniversal,www.eluniversal.com.mx,8,24
de97adeaa19e399dd2860dcc63bc6edd,https://www.eluniversal.com.mx/autor-opinion/plumas-invitadas/marti-batres/marti-batres,marti batres,Martí Batres,eluniversal,www.eluniversal.com.mx,2,2
6132a173ed4ac9a404b7f2057954b927,https://www.eluniversal.com.mx/de-ultima,de ultima,Danna Paola deslumbra con costoso collar de conocida firma francesa,eluniversal,www.eluniversal.com.mx,8,1
1c6f487f38d3d0bef5794f4dd699d785,https://www.eluniversal.com.mx/cartera/identifican-con-nombres-y-apellido-microempresarios-beneficiados-con-creditos,"La secretaria de Economía, Graciela Márquez, informó hoy que ya se identificaron a los que se beneficiarán por el millón de créditos que otorgará el gobierno federal a los microempresarios.",Identifican con nombres y apellido a microempresarios beneficiados con créditos,eluniversal,www.eluniversal.com.mx,6,13
65b4f3f84c2c1cf8c6e3ef89e06e2595,https://www.eluniversal.com.mx/menu/como-cocinar-el-suadero-como-el-de-taqueria,"Los tacos de suadero son un platillo originario de la Ciudad de México, por lo que se han vuelto un antojito tradicional para los chilangos. Pero ¿cuál es la mejor manera de cocinar esta carne? ¿Sabe mejor hervida o frita?",Cuál es la mejor manera de cocinar el suadero,eluniversal,www.eluniversal.com.mx,5,17
fe42b720f1f3ecc0cb6fa9500b91e0c4,https://www.eluniversal.com.mx/universal-deportes/futbol/cruz-azul-se-filtra-nuevo-uniforme,"El futbol está detenido, pero los equipos y su patrocinadoras se mantienen activos en los diseños de los próximos uniformes, para la temporada 2020-21. ",Se filtra nuevo uniforme de Cruz Azul,eluniversal,www.eluniversal.com.mx,5,10
ba8085bd572bf9a041970db0ca8abee7,https://www.eluniversal.com.mx/nacion/sociedad/condena-sindicato-del-imss-asesinato-de-trabajadoras-en-coahuila,"El Comité Ejecutivo Nacional del Sindicato Nacional del Seguro Social condenó las muertes de tres trabajadoras del Instituto Mexicano del  Seguro Social (IMSS) en Torreón, Coahuila. ",Condena sindicato del IMSS asesinato de trabajadoras en Coahuila,eluniversal,www.eluniversal.com.mx,6,18
